DEBUG | 2023-11-26T22:52:44Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0 seconds
DEBUG | 2023-11-26T22:52:44Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.001 seconds
DEBUG | 2023-11-26T22:52:44Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.001 seconds
DEBUG | 2023-11-26T22:52:44Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0 seconds
DEBUG | 2023-11-26T22:52:44Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.001 seconds
DEBUG | 2023-11-26T22:52:44Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.002 seconds
DEBUG | 2023-11-26T22:52:44Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.001 seconds
DEBUG | 2023-11-26T22:52:44Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.001 seconds
DEBUG | 2023-11-26T22:52:44Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0 seconds
DEBUG | 2023-11-26T22:52:44Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0 seconds
DEBUG | 2023-11-26T22:53:48Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.016 seconds
DEBUG | 2023-11-26T22:53:48Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.016 seconds
DEBUG | 2023-11-26T22:53:48Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.005 seconds
DEBUG | 2023-11-26T22:53:48Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.006 seconds
DEBUG | 2023-11-26T22:53:48Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.001 seconds
DEBUG | 2023-11-26T22:53:48Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0 seconds
DEBUG | 2023-11-26T22:53:48Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.001 seconds
DEBUG | 2023-11-26T22:53:48Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.001 seconds
DEBUG | 2023-11-26T22:53:48Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0 seconds
DEBUG | 2023-11-26T22:53:48Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.001 seconds
DEBUG | 2023-11-26T22:53:48Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0 seconds
DEBUG | 2023-11-26T22:53:48Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.001 seconds
DEBUG | 2023-11-26T22:54:23Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.001 seconds
DEBUG | 2023-11-26T22:54:23Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.001 seconds
DEBUG | 2023-11-26T22:54:23Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0 seconds
DEBUG | 2023-11-26T22:54:23Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0.001 seconds
DEBUG | 2023-11-26T22:54:23Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0.001 seconds
DEBUG | 2023-11-26T22:54:23Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command variables took 0 seconds
DEBUG | 2023-11-26T22:54:23Z+0100 | ...cal/nvim-data/lazy/nvim-dap-ui/lua/dapui/client/init.lua:128 | Command stackTrace took 0 seconds
